"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/21/2024","Sell","ICLN","ISHARES GLOBAL CLEAN ENERGY ETF","10.079","$14.0599","","$141.71"
"05/17/2024","Buy","KLIP","KRANESHS INT AND CALL STRTGY ETF","60","$14.905","","-$894.30"
"05/16/2024 as of 05/15/2024","Bank Interest","","BANK INT …0624-051524 TD BANK USA NA","","","","$0.08"
"05/14/2024","Buy","KLIP","KRANESHS INT AND CALL STRTGY ETF","140","$14.785","","-$2069.90"
"05/14/2024","Sell","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","0.39","$14.87","","$5.80"
"05/13/2024","Sell","AMDY","YIELDMAX AMD OPTION INC STRG ETF","27.315","$16.6301","","$454.25"
"05/13/2024","Sell","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","109","$14.5301","$0.03","$1583.75"
"05/13/2024","Journaled Shares","","TDA TRAN - CASH MOVEMENT OF OUTGOING ACCOUNT TRANSFER","","","","-$1404.41"
"05/13/2024","Journaled Shares","ICLN","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (ICLN)","-10.079","","",""
"05/13/2024","Journaled Shares","AIYY","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (AIYY)","-108.948","","",""
"05/13/2024","Journaled Shares","TSLY","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (TSLY)","-109.39","","",""
"05/13/2024","Journaled Shares","FBY","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (FBY)","-115.673","","",""
"05/13/2024","Journaled Shares","AMDY","TDA TRAN - TRANSFER OF SECURITY OR OPTION OUT (AMDY)","-27.315","","",""
"05/13/2024","Internal Transfer","AIYY","YIELDMAX AI OPTN INCME STRGY ETF","108.948","","",""
"05/13/2024","Internal Transfer","ICLN","ISHARES GLOBAL CLEAN ENERGY ETF","10.079","","",""
"05/13/2024","Internal Transfer","AMDY","YIELDMAX AMD OPTION INC STRG ETF","27.315","","",""
"05/13/2024","Internal Transfer","TSLY","YIELDMAX TSLA OPT INCM STGY ETF","109.39","","",""
"05/13/2024","Internal Transfer","FBY","YIELDMAX META OPTN INC STGY ETF","115.673","","",""
"05/13/2024","Internal Transfer","","TDA TO CS&CO TRANSFER","","","","$1404.41"
"05/13/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$1404.34"
"05/10/2024","Bond Interest","","TDA TRAN - OFF-CYCLE INTEREST (MMDA1)","","","","$0.07"
"05/08/2024","Reinvest Shares","TSLY","TDA TRAN - Bought 4.879 (TSLY) @14.8711","4.879","$14.8711","","-$72.55"
"05/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (TSLY)","","","","$72.55"
"05/08/2024","Reinvest Shares","AMDY","TDA TRAN - Bought 0.816 (AMDY) @16.5958","0.816","$16.5958","","-$13.55"
"05/08/2024","Reinvest Shares","FBY","TDA TRAN - Bought 5.129 (FBY) @19.3510","5.129","$19.351","","-$99.25"
"05/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (FBY)","","","","$99.25"
"05/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AMDY)","","","","$13.55"
"05/08/2024","Reinvest Shares","AIYY","TDA TRAN - Bought 3.523 (AIYY) @12.1950","3.523","$12.195","","-$42.96"
"05/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AIYY)","","","","$42.96"
"05/08/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$1367.32"
"05/06/2024","Sell","KLIP","TDA TRAN - Sold 0.27 (KLIP) @14.6600","0.27","$14.66","","$3.96"
"05/06/2024","Sell","KLIP","TDA TRAN - Sold 93 (KLIP) @14.6601","93","$14.6601","$0.03","$1363.36"
"05/01/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$0.01"
"04/30/2024","Bond Interest","","TDA TRAN - FREE BALANCE INTEREST ADJUSTMENT","","","","$0.01"
"04/30/2024","Journaled Shares","MMDA1","TDA TRAN - CASH ALTERNATIVES INTEREST (MMDA1)","0.02","","",""
"04/30/2024","Reinvest Shares","KLIP","TDA TRAN - Bought 3.27 (KLIP) @14.5071","3.27","$14.5071","","-$47.44"
"04/30/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (KLIP)","","","","$47.44"
"04/24/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES REDEMPTION (MMDA1) BANK SWEEP WITHDRAWAL","","","","-$54.61"
"04/22/2024","Buy","KLIP","TDA TRAN - Bought 90 (KLIP) @14.7799","90","$14.7799","","-$1330.19"
"04/22/2024","Sell","MSTY","TDA TRAN - Sold 40 (MSTY) @31.8900","40","$31.89","$0.02","$1275.58"
"04/19/2024","Journaled Shares","","TDA TRAN - CASH ALTERNATIVES PURCHASE (MMDA1) BANK SWEEP DEPOSIT","","","","$2.03"
"04/17/2024","Sell","SJT","TDA TRAN - Sold 0.25 (SJT) @5.0400","0.25","$5.04","","$1.26"
"04/17/2024","Buy","MSTY","TDA TRAN - Bought 40 (MSTY) @29.5900","40","$29.59","","-$1183.60"
"04/17/2024","Sell","SJT","TDA TRAN - Sold 235 (SJT) @5.0401","235","$5.0401","$0.05","$1184.37"
"04/12/2024","Reinvest Shares","SJT","TDA TRAN - Bought 1.807 (SJT) @5.3340","1.807","$5.334","","-$9.64"
"04/12/2024","Cash Dividend","","TDA TRAN - NATURAL RESOURCE ROYALTIES (SJT)","","","","$9.64"
"04/08/2024","Reinvest Shares","TSLY","TDA TRAN - Bought 4.491 (TSLY) @15.2337","4.491","$15.2337","","-$68.42"
"04/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (TSLY)","","","","$68.42"
"04/08/2024","Reinvest Shares","AMDY","TDA TRAN - Bought 1.499 (AMDY) @18.5715","1.499","$18.5715","","-$27.83"
"04/08/2024","Reinvest Shares","FBY","TDA TRAN - Bought 5.515 (FBY) @22.2907","5.515","$22.2907","","-$122.94"
"04/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AMDY)","","","","$27.83"
"04/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (FBY)","","","","$122.94"
"04/08/2024","Reinvest Shares","AIYY","TDA TRAN - Bought 5.425 (AIYY) @13.3701","5.425","$13.3701","","-$72.53"
"04/08/2024","Cash Dividend","","TDA TRAN - ORDINARY DIVIDEND (AIYY)","","","","$72.53"
