Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2024-05-11T11:12:52-0700,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.15,0,,--,0.00,,,,,,,
2024-05-10T13:00:00-0700,Receive Deliver,Expiration,SELL_TO_CLOSE,TOST  240510C00027500,Equity Option,Removal of 1.0 TOST 05/10/24 Call 27.50 due to expiration.,0.00,1,0.00,--,0.00,100,TOST,TOST,5/10/24,27.5,CALL,
2024-05-10T12:40:34-0700,Trade,Buy to Open,BUY_TO_OPEN,XLP,Equity,Bought 100 XLP @ 77.65,"-7,765.00",100,-77.65,0.00,-0.08,,,,,,,322111731
2024-05-10T12:38:34-0700,Trade,Buy to Close,BUY_TO_CLOSE,AAPL  240517P00177500,Equity Option,Bought 1 AAPL 05/17/24 Put 177.50 @ 0.28,-28.00,1,-28.00,0.00,-0.13,100,AAPL,AAPL,5/17/24,177.5,PUT,322111259
2024-05-10T12:36:46-0700,Trade,Buy to Open,BUY_TO_OPEN,LYFT  240816C00020000,Equity Option,Bought 3 LYFT 08/16/24 Call 20.00 @ 1.42,-426.00,3,-142.00,-3.00,-0.38,100,LYFT,LYFT,8/16/24,20,CALL,322110252
2024-05-10T10:51:22-0700,Trade,Sell to Close,SELL_TO_CLOSE,QQQ   240515P00436000,Equity Option,Sold 1 QQQ 05/15/24 Put 436.00 @ 1.22,122.00,1,122.00,0.00,-0.143,100,QQQ,QQQ,5/15/24,436,PUT,322073725
2024-05-10T10:51:22-0700,Trade,Buy to Close,BUY_TO_CLOSE,QQQ   240515P00440000,Equity Option,Bought 1 QQQ 05/15/24 Put 440.00 @ 2.41,-241.00,1,-241.00,0.00,-0.13,100,QQQ,QQQ,5/15/24,440,PUT,322073725
2024-05-10T10:32:41-0700,Trade,Sell to Close,SELL_TO_CLOSE,QQQ   240515C00444000,Equity Option,Sold 1 QQQ 05/15/24 Call 444.00 @ 2.01,201.00,1,201.00,0.00,-0.143,100,QQQ,QQQ,5/15/24,444,CALL,322068296
2024-05-10T10:32:41-0700,Trade,Buy to Close,BUY_TO_CLOSE,QQQ   240515C00440000,Equity Option,Bought 1 QQQ 05/15/24 Call 440.00 @ 4.07,-407.00,1,-407.00,0.00,-0.13,100,QQQ,QQQ,5/15/24,440,CALL,322068296
2024-05-10T08:16:06-0700,Trade,Buy to Open,BUY_TO_OPEN,XLRE,Equity,Bought 100 XLRE @ 37.85,"-3,784.83",100,-37.85,0.00,-0.08,,,,,,,322018004
2024-05-10T08:14:37-0700,Trade,Sell to Open,SELL_TO_OPEN,AAPL  240517P00177500,Equity Option,Sold 1 AAPL 05/17/24 Put 177.50 @ 0.32,32.00,1,32.00,-1.00,-0.143,100,AAPL,AAPL,5/17/24,177.5,PUT,322017376
2024-05-10T08:07:51-0700,Trade,Buy to Open,BUY_TO_OPEN,MA,Equity,Bought 5 MA @ 456.59,"-2,282.95",5,-456.59,0.00,-0.004,,,,,,,322014039
2024-05-10T08:07:51-0700,Trade,Buy to Open,BUY_TO_OPEN,MA,Equity,Bought 5 MA @ 456.59,"-2,282.95",5,-456.59,0.00,-0.004,,,,,,,322014039
2024-05-10T08:01:07-0700,Trade,Buy to Close,BUY_TO_CLOSE,ARM   250117P00080000,Equity Option,Bought 1 ARM 01/17/25 Put 80.00 @ 5.46,-546.00,1,-546.00,0.00,-0.13,100,ARM,ARM,1/17/25,80,PUT,322010704
